"","id","stat_id","sitename","lat","long","x","y","stepps-abs_mag","stepps-BC","refab-settlebiomass","refab-second_deriv1000","pol-min_age","pol-max_age","pol-n_ages"
"23",2011,175,"RadtkeLake",43.4,-88.1,607640.258110912,770452.920813728,0.0149802911940607,0.191196341799554,84.4435234665781,1.90091834908673e-10,469.566612645853,1747.4966734057,5
"NA.33",2051,73,"ReichowPond",47.190745,-95.77364,55995.2706162175,1254277.16667578,0.0295702646372318,0.18800357530744,NA,NA,154.869401724623,256.278550260998,5
"24",2053,74,"ReidelLake",46.211944,-95.284167,76346.935753667,1140873.80499771,0.21438417522613,0.18462513591604,23.825424682244,2.58099252345064e-10,357.919799162285,1835.21994121471,6
"NA.34",2062,75,"RhollLake",47.6,-96.166667,33915.336825595,1303938.98567383,0.267715142239038,0.234585556216854,NA,NA,174.733173707574,392.915709538079,8
"NA.35",2290,77,"RossburgBog",46.583333,-93.6,210133.236885243,1163878.09298025,0,0.183220896627305,NA,NA,1958.22969321828,1958.22969321828,1
"NA.36",2309,242,"RubyLake",45.283333,-91.458333,358152.22691493,1001003.07517974,0.0343239052781794,0.181904936242672,NA,NA,160,810,21
"25",2314,78,"RutzLake",44.87083,-93.858975,165389.00657657,977439.088810628,0.227278149838898,0.133771464855325,31.6308191666955,9.50613034786379e-09,162.786786697798,1861.53940111998,14
"26",2318,210,"RyerseLake",46.131944,-85.179167,851088.323532608,1064473.6633024,0.0796608826931038,0.227419414052834,NA,1.40706424961215e-09,930.893359904449,1980.80331572619,6
"NA.37",2375,80,"ShagawaLake",47.916667,-91.866667,357722.402042141,1295853.07177323,0.026848326640662,0.192622346753803,NA,NA,161.710722475559,1864.79284015377,12
"NA.38",2383,81,"SilverLake",44.895835,-94.20414,138782.169734268,983838.737463492,0.324667078068495,0.165060373814261,NA,NA,163.122753966921,206.37211543598,4
"NA.39",2394,82,"SiseebakwetSouth",47.133333,-93.683333,211737.715604547,1225424.25507873,0,0.178839731040419,NA,NA,186.990833394091,383.950719401015,5
"NA.40",2584,84,"SouthStanchfieldLake",45.725,-93.466667,208135.003771951,1067772.04683308,0.226643719107931,0.203038121175797,NA,NA,169.844820968612,289.089846017818,5
"NA.41",2585,85,"SpectacleLake",45.572222,-93.408333,210487.111983245,1050323.62139282,0.327030958973255,0.22952057022267,NA,NA,150.071947908922,281.177003532948,6
"28",2586,211,"SpiritLake",46.47,-86.958333,715663.596791599,1106890.75250386,0.15886685103553,0.227279809882116,112.991879346245,2.68504974021292e-08,352.858289926402,1818.24679137156,5
"NA.42",2613,88,"SunfishLake",44.874722,-93.1,224832.182288653,970268.725257146,0.143154074389407,0.103370866366801,NA,NA,153.597177622338,457.127732222888,12
"NA.43",2624,178,"TamarackCreek",44.15,-91.45,345952.20752275,875441.466510828,0.399849304641056,0.310667684629535,NA,NA,217.424195447877,1997.5851474092,14
"29",2638,89,"QuallenLake[TerhellPond]",47.19324,-95.786645,55066.2021300448,1254704.38922792,0.0295702646372318,0.18800357530744,14.2641115190329,4.32482059565173e-09,173.490878681172,1988.95207563502,10
"NA.44",2640,90,"ThompsonPond",47.19482,-96.09332,32176.1749156691,1258527.01371588,0.237665770103454,0.225618207988659,NA,NA,157.452659745311,1986.86971411011,38
"NA.45",2648,91,"ToenjesLake",45.40895,-93.981715,163767.255049316,1038096.46056353,0.266467264770128,0.170232533988969,NA,NA,162.425107825074,303.289825601557,9
"NA.46",2881,92,"TwinLakes",45.848889,-93.167778,232876.45277338,1078560.20797804,0.0549172712486942,0.191123107739814,NA,NA,168.560382652059,345.141850409821,9
"NA.47",2888,93,"UpperGravenLake",46.184444,-95.306944,74154.4079411464,1138108.01774884,0.21438417522613,0.18462513591604,NA,NA,675.55567384207,1248.9439092746,2
"NA.48",2948,95,"WentzelsPond",46.95,-94.95,113729.588239272,1218398.90904063,0,0.16570786719181,NA,NA,277.836941547075,1868.44305161451,7
"NA.49",2952,96,"WhiteLilyLake",46.086111,-93.102778,241108.300514199,1104158.26941576,0.134705477434615,0.189044710694929,NA,NA,173.098952401311,273.934170196864,5
"31",3031,99,"WolsfeldLake",45.005,-93.5727,189694.866555631,989319.526546676,0.181262266593237,0.106328832457012,28.4432219093845,5.13263503738935e-10,177.499169572308,1850.98909763736,16
"NA.50",3032,214,"WolverineLake",46.429167,-85.661111,814916.936097577,1098559.14002839,0.182818564258729,0.248753849120189,NA,NA,1923.59748037178,1923.59748037178,1
"32",3035,179,"WoodLake",45.333333,-90.083333,465839.290126148,996486.90656434,0.0894093809230252,0.177798773621829,145.966916966181,5.94632970304495e-08,437.952085194426,1853.38219603292,7
"NA.51",3047,215,"YellowDogPond",46.75,-87.95,641555.746466062,1141991.47852379,0.0487692902801057,0.204606095889285,NA,NA,948.313441442452,1646.27897299415,2
"NA.52",3062,5,"BeckmanLake",45.425,-93.183333,225860.925100248,1031871.05543425,0.259631785550887,0.210266578039123,NA,NA,153.695604126441,332.162930609832,10
"NA.53",3081,167,"DisterhaftFarmBog",43.916944,-89.166944,525722.182500445,833581.658372948,0,0.175597593560404,NA,NA,322.907636550564,1928.27906832654,7
"NA.54",3131,241,"HellsKitchenLake",46.183333,-89.7,503320.187251428,1088350.3016923,0.267502375688747,0.221684565124254,NA,NA,170,1960,59
"11",3138,39,"JacobsonLake",46.416944,-92.716944,275011.286323306,1137169.79112615,0,0.139492454060096,51.3733479000068,1.43212233836212e-09,201.40750693834,1990.76311824181,19
"12",3452,170,"KellysHollow",45.3,-90.35,444723.936510177,994596.812470678,0.0802186784099347,0.188872866324996,NA,3.14425937533311e-08,355.853724787257,1629.73070725312,3
"16.1",3468,48,"LakeAnn",45.425,-93.6875,186790.609494993,1036849.24633744,0.358509923211311,0.195435825218413,28.917471429392,4.71925912174378e-09,915.523010006354,1953.00424422658,3
"NA.55",3473,164,"LakeMary",46.25,-89.9,488570.756536589,1097003.30085841,0.0299608383238344,0.191966869418267,NA,NA,877.609890807048,1614.10959656851,2
"19.1",3492,57,"LakeMinnie",47.244755,-95.007715,114173.268595867,1251503.78713486,0,0.14459794497949,27.0381343450703,3.58872263425336e-08,152.573635056478,1989.91212910851,9
"21",3558,67,"PogoniaBogPond",45.03503,-93.6305,185614.101733716,993219.091045937,0.181262266593237,0.106328832457012,28.4432219093845,1.36952645138257e-10,217.66854940666,1962.76804169313,11
"NA.56",3568,76,"RiceLake",46.922222,-95.575,66281.3372309986,1222416.26900801,0.0246148078935086,0.163979449467234,NA,NA,176.655261614677,1955.24156882127,10
"27",3620,177,"Seidel",44.45,-87.515556,661058.891804945,884429.934372421,0.0205820113107245,0.237351936561682,113.670439637377,4.69989204568565e-08,302.241952881424,1884.55120011336,47
"NA.57",3781,172,"StewartsDarkLake",45.3,-91.45,358990.45751041,1002782.54917153,0.0343239052781794,0.181904936242672,NA,NA,1933.75662926274,1933.75662926274,1
"NA.58",3837,94,"WeberLake",47.471667,-91.66,367893.643012434,1244957.97445237,0.0329505184625539,0.201729128036695,NA,NA,161.883967264609,1042.63126281909,44
"NA.59",10973,102,"BlomfordLake",45.4935,-93.1545,229033.809349671,1039162.75508916,0.259631785550887,0.210266578039123,NA,NA,206.166066064058,352.738656052835,5
"NA.60",10974,103,"FawnLake",45.4072,-93.0532,235709.418943392,1028658.79169368,0.259631785550887,0.210266578039123,NA,NA,254.133820697729,254.133820697729,1
"NA.61",10975,104,"FrovoldLake",45.377,-95.5625,40965.3050406653,1052229.35783248,0,0.170400226845648,NA,NA,155.69481937047,185.511303435878,2
